id,text,font,name_text,name_order
path8,Y,MaruGothic,YONEZAWA,1
path10,O,MaruGothic,YONEZAWA,2
path12,N,MaruGothic,YONEZAWA,3
path14,E,MaruGothic,YONEZAWA,4
path16,Z,MaruGothic,YONEZAWA,5
path18,A,MaruGothic,YONEZAWA,6
path20,W,MaruGothic,YONEZAWA,7
path22,A,MaruGothic,YONEZAWA,8
