id,text,font,name_text,name_order
path6,‚ ,Brush,‚ ‚è‚ª‚Æ‚¤,1
path8,‚è,Brush,‚ ‚è‚ª‚Æ‚¤,2
path10,‚ª,Brush,‚ ‚è‚ª‚Æ‚¤,3
path12,‚Æ,Brush,‚ ‚è‚ª‚Æ‚¤,4
path14,‚¤,Brush,‚ ‚è‚ª‚Æ‚¤,5
